"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","1","Авторизація","0","0","Успішний вхід користувача","0"
"0","","0","Авторизація","1","0","Вхід користувача з неправильними даними","0"
"0","","0","Сторінка з товарами","1","0","Перевірка найменшої ціни товару на сайті після сортування","0"
"0","","0","Сторінка з товарами","1","0","Успішна поява товару у кошику","0"
